--- Calculated 19 Internal Node Coordinates ---
Fairlead Point: X=5.200, Y=0.000, Z=-70.000
----------------------------------------------------------------------
ID |   X (m)   |   Y (m)   |   Z (m)   | Arc Length from FP (m)
---|-----------|-----------|-----------|------------------------
1  |    42.406 |     0.000 |   -95.505 |      45.110
2  |    80.298 |     0.000 |  -119.978 |      90.220
3  |   118.873 |     0.000 |  -143.362 |     135.330
4  |   158.120 |     0.000 |  -165.597 |     180.440
5  |   198.028 |     0.000 |  -186.624 |     225.550
6  |   238.579 |     0.000 |  -206.381 |     270.660
7  |   279.751 |     0.000 |  -224.808 |     315.770
8  |   321.518 |     0.000 |  -241.846 |     360.880
9  |   363.847 |     0.000 |  -257.433 |     405.990
10 |   406.700 |     0.000 |  -271.515 |     451.100
11 |   450.035 |     0.000 |  -284.036 |     496.210
12 |   493.803 |     0.000 |  -294.947 |     541.320
13 |   537.950 |     0.000 |  -304.201 |     586.430
14 |   582.420 |     0.000 |  -311.760 |     631.540
15 |   627.149 |     0.000 |  -317.589 |     676.650
16 |   672.072 |     0.000 |  -321.662 |     721.760
17 |   717.120 |     0.000 |  -323.960 |     766.870
18 |   762.224 |     0.000 |  -324.472 |     811.980
19 |   807.313 |     0.000 |  -323.196 |     857.090
----------------------------------------------------------------------
Anchor Point:   X=853.870, Y=0.000, Z=-320.000
